Season	ConfAbbrev	DayNum	WTeamID	LTeamID
2025	a_sun	123	3122	3480
2025	a_sun	123	3468	3239
2025	a_sun	124	3146	3468
2025	a_sun	124	3184	3391
2025	a_sun	124	3195	3122
2025	a_sun	124	3252	3466
2025	a_sun	127	3146	3252
2025	a_sun	127	3195	3184
2025	a_sun	131	3195	3146
2025	a_ten	123	3172	3173
2025	a_ten	123	3206	3387
2025	a_ten	123	3350	3182
2025	a_ten	123	3386	3348
2025	a_ten	124	3206	3172
2025	a_ten	124	3386	3350
2025	a_ten	125	3206	3386
2025	aac	126	3317	3187
2025	aac	126	3349	3427
2025	aac	126	3378	3408
2025	aac	126	3396	3150
2025	aac	127	3349	3396
2025	aac	127	3378	3317
2025	aac	128	3378	3349
2025	acc	121	3130	3393
2025	acc	121	3155	3390
2025	acc	121	3438	3338
2025	acc	122	3143	3438
2025	acc	122	3210	3439
2025	acc	122	3257	3155
2025	acc	122	3314	3130
2025	acc	123	3181	3257
2025	acc	123	3301	3210
2025	acc	123	3314	3199
2025	acc	123	3323	3143
2025	acc	124	3181	3323
2025	acc	124	3301	3314
2025	acc	125	3181	3301
2025	aec	122	3107	3306
2025	aec	122	3136	3127
2025	aec	122	3263	3312
2025	aec	122	3436	3420
2025	aec	126	3107	3263
2025	aec	126	3436	3136
2025	aec	130	3436	3107
2025	big_east	123	3207	3344
2025	big_east	123	3385	3139
2025	big_east	123	3462	3177
2025	big_east	124	3163	3385
2025	big_east	124	3166	3207
2025	big_east	124	3371	3462
2025	big_east	124	3437	3266
2025	big_east	125	3163	3437
2025	big_east	125	3166	3371
2025	big_east	126	3163	3166
2025	big_sky	124	3170	3186
2025	big_sky	124	3294	3340
2025	big_sky	125	3286	3294
2025	big_sky	125	3319	3170
2025	big_sky	126	3226	3451
2025	big_sky	126	3285	3225
2025	big_sky	127	3285	3319
2025	big_sky	127	3286	3226
2025	big_sky	128	3286	3285
2025	big_south	121	3421	3342
2025	big_south	122	3219	3421
2025	big_south	122	3255	3367
2025	big_south	122	3347	3205
2025	big_south	122	3457	3149
2025	big_south	124	3219	3457
2025	big_south	124	3255	3347
2025	big_south	125	3219	3255
2025	big_ten	121	3234	3458
2025	big_ten	121	3304	3353
2025	big_ten	121	3449	3278
2025	big_ten	122	3231	3332
2025	big_ten	122	3234	3277
