Season,Team1ID,Team2ID,Team1WinRate,Team2WinRate,Team1PointsScored,Team2PointsScored,Team1PointsAllowed,Team2PointsAllowed,Team1PointsDiff,Team2PointsDiff,WinRateDiff,PointsScoredDiff,Team1_FGM_pg,Team1_FGA_pg,Team1_FGM3_pg,Team1_FGA3_pg,Team1_FTM_pg,Team1_FTA_pg,Team1_OR_pg,Team1_DR_pg,Team1_FG_pct,Team1_FG3_pct,Team1_FT_pct,Team2_FGM_pg,Team2_FGA_pg,Team2_FGM3_pg,Team2_FGA3_pg,Team2_FTM_pg,Team2_FTA_pg,Team2_OR_pg,Team2_DR_pg,Team2_FG_pct,Team2_FG3_pct,Team2_FT_pct,Target
2010,1387,1356,0.8,0.3333333333333333,69.4,59.333333333333336,59.6,61.0,9.800000000000004,-1.6666666666666643,0.46666666666666673,10.06666666666667,23.2,49.6,6.4,18.0,16.6,24.4,8.4,23.2,0.46774193548387094,0.35555555555555557,0.680327868852459,20.666666666666668,52.666666666666664,6.666666666666667,21.0,11.333333333333334,19.333333333333332,13.333333333333334,21.666666666666668,0.3924050632911392,0.31746031746031744,0.5862068965517241,1
2010,1356,1387,0.3333333333333333,0.8,59.333333333333336,69.4,61.0,59.6,-1.6666666666666643,9.800000000000004,-0.46666666666666673,-10.06666666666667,20.666666666666668,52.666666666666664,6.666666666666667,21.0,11.333333333333334,19.333333333333332,13.333333333333334,21.666666666666668,0.3924050632911392,0.31746031746031744,0.5862068965517241,23.2,49.6,6.4,18.0,16.6,24.4,8.4,23.2,0.46774193548387094,0.35555555555555557,0.680327868852459,0
2010,1317,1309,0.5,0.0,66.5,46.0,60.5,68.0,6.0,-22.0,0.5,20.5,21.0,50.5,5.0,15.5,19.5,26.5,11.0,27.5,0.4158415841584158,0.3225806451612903,0.7358490566037735,15.333333333333334,51.333333333333336,5.666666666666667,22.0,12.0,17.0,10.0,17.666666666666668,0.2987012987012987,0.25757575757575757,0.7058823529411765,1
2010,1309,1317,0.0,0.5,46.0,66.5,68.0,60.5,-22.0,6.0,-0.5,-20.5,15.333333333333334,51.333333333333336,5.666666666666667,22.0,12.0,17.0,10.0,17.666666666666668,0.2987012987012987,0.25757575757575757,0.7058823529411765,21.0,50.5,5.0,15.5,19.5,26.5,11.0,27.5,0.4158415841584158,0.3225806451612903,0.7358490566037735,0
2010,1148,1136,0.5,0.5,58.0,50.5,57.5,56.0,0.5,-5.5,0.0,7.5,21.0,49.0,5.0,17.0,11.0,17.0,8.5,17.5,0.42857142857142855,0.29411764705882354,0.6470588235294118,19.0,42.5,3.0,13.0,9.5,15.0,7.0,21.0,0.4470588235294118,0.23076923076923078,0.6333333333333333,1
2010,1136,1148,0.5,0.5,50.5,58.0,56.0,57.5,-5.5,0.5,0.0,-7.5,19.0,42.5,3.0,13.0,9.5,15.0,7.0,21.0,0.4470588235294118,0.23076923076923078,0.6333333333333333,21.0,49.0,5.0,17.0,11.0,17.0,8.5,17.5,0.42857142857142855,0.29411764705882354,0.6470588235294118,0
2010,1181,1199,0.8,0.5,65.2,61.0,58.2,64.5,7.0,-3.5,0.30000000000000004,4.200000000000003,23.2,53.8,5.4,17.0,13.4,18.8,10.8,22.2,0.4312267657992565,0.3176470588235294,0.7127659574468085,24.25,54.0,7.0,18.25,10.75,17.75,12.0,25.25,0.44907407407407407,0.3835616438356164,0.6056338028169014,1
2010,1199,1181,0.5,0.8,61.0,65.2,64.5,58.2,-3.5,7.0,-0.30000000000000004,-4.200000000000003,24.25,54.0,7.0,18.25,10.75,17.75,12.0,25.25,0.44907407407407407,0.3835616438356164,0.6056338028169014,23.2,53.8,5.4,17.0,13.4,18.8,10.8,22.2,0.4312267657992565,0.3176470588235294,0.7127659574468085,0
2010,1173,1250,1.0,0.0,77.5,74.5,61.0,87.0,16.5,-12.5,1.0,3.0,25.0,54.0,7.333333333333333,20.0,17.666666666666668,23.666666666666668,12.0,24.666666666666668,0.46296296296296297,0.36666666666666664,0.7464788732394366,25.0,58.5,4.0,15.5,20.5,28.0,10.0,26.0,0.42735042735042733,0.25806451612903225,0.7321428571428571,1
2010,1250,1173,0.0,1.0,74.5,77.5,87.0,61.0,-12.5,16.5,-1.0,-3.0,25.0,58.5,4.0,15.5,20.5,28.0,10.0,26.0,0.42735042735042733,0.25806451612903225,0.7321428571428571,25.0,54.0,7.333333333333333,20.0,17.666666666666668,23.666666666666668,12.0,24.666666666666668,0.46296296296296297,0.36666666666666664,0.7464788732394366,0
